# Region type : patch inlet
#   Faces  : 20
#   Area   : 1.000000e-03
#        Time	sum(phi)
         2.59	-7.570165e-04
        2.595	-7.570165e-04
          2.6	-7.570165e-04
        2.605	-7.570165e-04
         2.61	-7.570165e-04
        2.615	-7.570165e-04
         2.62	-7.570164e-04
        2.625	-7.570164e-04
         2.63	-7.570164e-04
        2.635	-7.570164e-04
         2.64	-7.570164e-04
        2.645	-7.570164e-04
         2.65	-7.570164e-04
        2.655	-7.570163e-04
         2.66	-7.570163e-04
        2.665	-7.570163e-04
         2.67	-7.570163e-04
        2.675	-7.570163e-04
         2.68	-7.570163e-04
        2.685	-7.570163e-04
         2.69	-7.570162e-04
        2.695	-7.570162e-04
          2.7	-7.570162e-04
        2.705	-7.570162e-04
         2.71	-7.570162e-04
        2.715	-7.570162e-04
         2.72	-7.570162e-04
        2.725	-7.570162e-04
         2.73	-7.570162e-04
        2.735	-7.570161e-04
         2.74	-7.570161e-04
        2.745	-7.570161e-04
         2.75	-7.570161e-04
        2.755	-7.570161e-04
         2.76	-7.570161e-04
        2.765	-7.570161e-04
         2.77	-7.570161e-04
        2.775	-7.570161e-04
         2.78	-7.570161e-04
        2.785	-7.570161e-04
         2.79	-7.570161e-04
        2.795	-7.570160e-04
          2.8	-7.570160e-04
        2.805	-7.570160e-04
         2.81	-7.570160e-04
        2.815	-7.570160e-04
         2.82	-7.570160e-04
        2.825	-7.570160e-04
         2.83	-7.570160e-04
        2.835	-7.570160e-04
         2.84	-7.570160e-04
        2.845	-7.570160e-04
         2.85	-7.570160e-04
        2.855	-7.570159e-04
         2.86	-7.570159e-04
        2.865	-7.570159e-04
         2.87	-7.570159e-04
        2.875	-7.570159e-04
         2.88	-7.570159e-04
        2.885	-7.570159e-04
         2.89	-7.570159e-04
        2.895	-7.570159e-04
          2.9	-7.570159e-04
        2.905	-7.570159e-04
         2.91	-7.570159e-04
        2.915	-7.570159e-04
         2.92	-7.570159e-04
        2.925	-7.570159e-04
         2.93	-7.570159e-04
        2.935	-7.570159e-04
         2.94	-7.570159e-04
        2.945	-7.570159e-04
         2.95	-7.570159e-04
        2.955	-7.570159e-04
         2.96	-7.570158e-04
        2.965	-7.570158e-04
         2.97	-7.570158e-04
        2.975	-7.570158e-04
         2.98	-7.570158e-04
        2.985	-7.570158e-04
         2.99	-7.570158e-04
        2.995	-7.570158e-04
            3	-7.570158e-04
        3.005	-7.570158e-04
         3.01	-7.570158e-04
        3.015	-7.570158e-04
         3.02	-7.570158e-04
        3.025	-7.570158e-04
         3.03	-7.570158e-04
        3.035	-7.570158e-04
         3.04	-7.570158e-04
        3.045	-7.570158e-04
         3.05	-7.570158e-04
        3.055	-7.570158e-04
         3.06	-7.570158e-04
        3.065	-7.570158e-04
         3.07	-7.570158e-04
        3.075	-7.570158e-04
         3.08	-7.570158e-04
        3.085	-7.570158e-04
         3.09	-7.570158e-04
        3.095	-7.570157e-04
          3.1	-7.570157e-04
        3.105	-7.570157e-04
         3.11	-7.570157e-04
        3.115	-7.570157e-04
         3.12	-7.570157e-04
        3.125	-7.570157e-04
         3.13	-7.570157e-04
        3.135	-7.570157e-04
         3.14	-7.570157e-04
        3.145	-7.570157e-04
         3.15	-7.570157e-04
        3.155	-7.570157e-04
         3.16	-7.570157e-04
        3.165	-7.570157e-04
         3.17	-7.570157e-04
        3.175	-7.570157e-04
         3.18	-7.570157e-04
        3.185	-7.570157e-04
         3.19	-7.570157e-04
        3.195	-7.570157e-04
          3.2	-7.570157e-04
        3.205	-7.570157e-04
         3.21	-7.570157e-04
        3.215	-7.570157e-04
         3.22	-7.570157e-04
        3.225	-7.570157e-04
         3.23	-7.570157e-04
        3.235	-7.570157e-04
         3.24	-7.570157e-04
        3.245	-7.570157e-04
         3.25	-7.570157e-04
        3.255	-7.570157e-04
         3.26	-7.570157e-04
        3.265	-7.570157e-04
         3.27	-7.570157e-04
        3.275	-7.570157e-04
         3.28	-7.570157e-04
        3.285	-7.570157e-04
         3.29	-7.570157e-04
        3.295	-7.570157e-04
          3.3	-7.570157e-04
        3.305	-7.570157e-04
         3.31	-7.570157e-04
        3.315	-7.570157e-04
         3.32	-7.570157e-04
        3.325	-7.570157e-04
